min,max,mean,year,adm3_pcode
,,,2020-01-16T00:00:00.000000000,ET040519
,,,2020-01-16T00:00:00.000000000,ET040590
,,,2020-01-16T00:00:00.000000000,ET040592
,,,2020-01-16T00:00:00.000000000,ET040594
,,,2020-01-16T00:00:00.000000000,ET040597
,,,2020-01-16T00:00:00.000000000,ET040601
1.0965185165405273,1.0965185165405273,1.0965185165405273,2020-01-16T00:00:00.000000000,ET040602
,,,2020-01-16T00:00:00.000000000,ET040603
1.1253501176834106,1.1253501176834106,1.1253501176834106,2020-01-16T00:00:00.000000000,ET040604
,,,2020-01-16T00:00:00.000000000,ET040605
1.2620298862457275,1.2620298862457275,1.2620298862457275,2020-01-16T00:00:00.000000000,ET040606
,,,2020-01-16T00:00:00.000000000,ET040607
,,,2020-01-16T00:00:00.000000000,ET040608
,,,2020-01-16T00:00:00.000000000,ET040609
,,,2020-01-16T00:00:00.000000000,ET040610
,,,2020-01-16T00:00:00.000000000,ET040613
,,,2020-01-16T00:00:00.000000000,ET040614
,,,2020-01-16T00:00:00.000000000,ET040615
,,,2020-01-16T00:00:00.000000000,ET040617
